idx;result;table;_start;_stop;_time;_value;InstallationName;_field;_measurement
125;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T20:50:00Z;-19,43;acme;a;007955_0x40
126;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T21:00:00Z;-19,47;acme;a;007955_0x40
127;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T21:10:00Z;-18,63;acme;a;007955_0x40
128;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T21:20:00Z;-19,98;acme;a;007955_0x40
129;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T21:30:00Z;-18,64;acme;a;007955_0x40
130;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T21:40:00Z;-19,97;acme;a;007955_0x40
131;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T21:50:00Z;-19,01;acme;a;007955_0x40
132;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T22:00:00Z;-19,39;acme;a;007955_0x40
133;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T22:10:00Z;-19,53;acme;a;007955_0x40
134;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T22:20:00Z;-18,82;acme;a;007955_0x40
135;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T22:30:00Z;-19,92;acme;a;007955_0x40
136;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T22:40:00Z;-18,66;acme;a;007955_0x40
137;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T22:50:00Z;-19,89;acme;a;007955_0x40
138;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T23:00:00Z;-18,99;acme;a;007955_0x40
139;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T23:10:00Z;-19,43;acme;a;007955_0x40
140;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T23:20:00Z;-19,46;acme;a;007955_0x40
141;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T23:30:00Z;-18,83;acme;a;007955_0x40
142;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T23:40:00Z;-19,79;acme;a;007955_0x40
143;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T23:50:00Z;-18,58;acme;a;007955_0x40
144;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T00:00:00Z;-19,86;acme;a;007955_0x40
145;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T00:10:00Z;-18,92;acme;a;007955_0x40
146;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T00:20:00Z;-19,32;acme;a;007955_0x40
147;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T00:30:00Z;-19,45;acme;a;007955_0x40
148;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T00:40:00Z;-18,97;acme;a;007955_0x40
149;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T00:50:00Z;-19,9;acme;a;007955_0x40
150;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T01:00:00Z;-18,69;acme;a;007955_0x40
151;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T01:10:00Z;-20,02;acme;a;007955_0x40
152;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T01:20:00Z;-18,78;acme;a;007955_0x40
153;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T01:30:00Z;-19,7;acme;a;007955_0x40
